# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  1.1459   30.53288   26.73017   -27.3352   -31.13791   0.02245   120450.54+442835.9  
  1.1491   30.62973   26.96136   -27.2413   -30.90967   0.00849   084128.20+200157.5  
  1.1525   30.98002   27.07904   -26.8942   -30.79519   0.02914   125030.48+002000.0  
  1.1538   30.80162   26.88284   -27.0738   -30.99258   0.03069   121708.47+041409.7  
  1.1561   30.65623   26.89447   -27.2214   -30.98316   0.02535   130050.94+585927.3  
  1.1576   31.41602   27.32467   -26.463    -30.55436   0.01305   141528.76-002633.1  
  1.1596   30.82264   26.78357   -27.0582   -31.09727   0.02017   122607.05+334559.6  
  1.1632   30.4424    26.62849   -27.4418   -31.25571   0.01984   143822.20+642000.6  
  1.1639   30.71775   26.61036   -27.1671   -31.27449   0.04071   004156.17-094859.8  
  1.1646   30.48297   26.5366    -27.4025   -31.34887   0.04381   124649.41+024634.4  
  1.1648   30.66769   26.4991    -27.218    -31.38659   0.0504    114256.19+194014.4  
  1.1674   30.72475   26.37731   -27.1633   -31.51074   0.04324   102224.04+215833.0  
  1.1686   30.72019   26.14818   -27.169    -31.74101   0.09877   155535.44+341107.4  
  1.1688   30.69556   27.09216   -27.1938   -30.7972    0.01681   134512.07+554759.6  
  1.171    30.87845   26.64224   -27.0129   -31.24912   0.04002   093205.68+284343.9  
  1.1765   30.83675   26.70009   -27.0596   -31.19626   0.04289   164534.00+421927.7  
  1.1795   30.06585   26.28809   -27.8333   -31.61105   0.04895   221203.19+000239.0  
  1.1811   30.65882   26.50744   -27.2418   -31.39318   0.1165    205015.13-004222.8  
  1.1812   30.78786   26.66413   -27.1128   -31.23653   0.02478   114522.37+472433.7  
  1.1815   30.48311   26.69729   -27.4178   -31.20362   0.02064   234053.04-090315.1  
  1.1846   30.61396   26.93488   -27.2898   -30.96888   0.02415   083543.01+251102.2  
  1.1855   30.9061    26.66618   -26.9985   -31.23842   0.0121    103031.64+052454.9  
  1.1856   30.95021   27.19494   -26.9545   -30.70976   0.02458   000548.24-084808.4  
  1.1873   30.6652    26.74825   -27.241    -31.15795   0.0152    122517.16+181346.5  
  1.1889   30.71664   26.48272   -27.191    -31.42492   0.0449    121938.69+064022.4  
  1.1907   30.4615    26.73713   -27.4478   -31.17217   0.03906   150701.56+010805.4  
  1.1908   30.33212   26.39907   -27.5773   -31.51035   0.02131   121739.80+375240.6  
  1.1922   30.37674   26.80819   -27.5339   -31.10244   0.01618   163017.43+392043.7  
  1.1945   30.48255   26.53111   -27.4302   -31.38164   0.03001   134949.90+263346.8  
  1.198    30.65555   26.27331   -27.2603   -31.64254   0.04463   163101.80+393019.4  
  1.2012   30.49537   26.69535   -27.4234   -31.22341   0.01215   084216.26+193310.5  
  1.2042   30.52154   26.70304   -27.3999   -31.2184    0.02753   143218.93+134145.6  
  1.2078   30.6214    26.3366    -27.3032   -31.588     0.04963   080450.64+234833.8  
  1.209    30.38698   26.7735    -27.5387   -31.15217   0.0215    142355.50+383150.5  
  1.2126   30.74517   26.75105   -27.1837   -31.17783   0.03138   145417.55+162431.4  
  1.2139   30.41302   26.46326   -27.517    -31.46676   0.02751   151630.19-010109.0  
